,vacancy_name,vacancy_link,min_salary,max_salary,currency
0,Data Scientist,https://kazan.hh.ru/vacancy/76925483?from=vacancy_search_list&query=data+scientist,160000,200000,руб.
1,Data scientist,https://kazan.hh.ru/vacancy/74376536?from=vacancy_search_list&query=data+scientist,200000,240000,руб.
2,Data Scientist (Middle+),https://kazan.hh.ru/vacancy/76810036?from=vacancy_search_list&query=data+scientist,170000,240000,руб.
3,Data Scientist (удаленно),https://kazan.hh.ru/vacancy/76655873?from=vacancy_search_list&query=data+scientist,0,0,
4,Data Scientist middle+/Senior,https://kazan.hh.ru/vacancy/77208642?from=vacancy_search_list&query=data+scientist,250000,350000,руб.
5,Data scientist,https://kazan.hh.ru/vacancy/74257661?from=vacancy_search_list&query=data+scientist,150000,300000,руб.
6,Аналитик данных (Data Scientist) / ML-разработчик,https://kazan.hh.ru/vacancy/77223284?from=vacancy_search_list&query=data+scientist,0,0,
7,Data scientist / Аналитик риск-моделей,https://kazan.hh.ru/vacancy/77181469?from=vacancy_search_list&query=data+scientist,120000,300000,руб.
8,Data Scientist,https://kazan.hh.ru/vacancy/77199776?from=vacancy_search_list&query=data+scientist,0,0,
9,Data Scientist,https://kazan.hh.ru/vacancy/77239094?from=vacancy_search_list&query=data+scientist,0,0,
10,Data Scientist,https://kazan.hh.ru/vacancy/77217750?from=vacancy_search_list&query=data+scientist,0,0,
11,Middle data scientist / исследователь,https://kazan.hh.ru/vacancy/76996360?from=vacancy_search_list&query=data+scientist,0,0,
12,Data Scientist / Аналитик,https://kazan.hh.ru/vacancy/77232985?from=vacancy_search_list&query=data+scientist,0,0,
13,Senior Data Scientist,https://kazan.hh.ru/vacancy/73387970?from=vacancy_search_list&query=data+scientist,0,350000,руб.
14,АККРЕДИТОВАННАЯ КОМПАНИЯ Data Scientist / Python разработчик,https://kazan.hh.ru/vacancy/48411370?from=vacancy_search_list&query=data+scientist,0,0,
15,Data Scientist/python-разработчик,https://kazan.hh.ru/vacancy/77107666?from=vacancy_search_list&query=data+scientist,0,0,
16,Data Scientist / ML Инженер,https://kazan.hh.ru/vacancy/76827021?from=vacancy_search_list&query=data+scientist,0,0,
17,Data Analyst/Data Scientist,https://kazan.hh.ru/vacancy/77229186?from=vacancy_search_list&query=data+scientist,0,0,
18,Эконометрист/Data scientist (Junior/Middle) в консалтинг,https://kazan.hh.ru/vacancy/75546364?from=vacancy_search_list&query=data+scientist,40000,0,руб.
19,Data Scientist middle/senior,https://kazan.hh.ru/vacancy/77201329?from=vacancy_search_list&query=data+scientist,0,0,
20,Middle / Senior Data Scientist (Computer Vision),https://kazan.hh.ru/vacancy/77128896?from=vacancy_search_list&query=data+scientist,0,0,
21,Data Scientist,https://kazan.hh.ru/vacancy/76963121?from=vacancy_search_list&query=data+scientist,0,0,
22,Data Scientist ядра CVM,https://kazan.hh.ru/vacancy/76169521?from=vacancy_search_list&query=data+scientist,0,0,
23,Data Scientist (to Montenegro),https://kazan.hh.ru/vacancy/77129897?from=vacancy_search_list&query=data+scientist,0,0,
24,Data Scientist (Computer Vision) / Middle,https://kazan.hh.ru/vacancy/69999884?from=vacancy_search_list&query=data+scientist,100000,0,руб.
25,Senior/Lead ML Engineer,https://kazan.hh.ru/vacancy/77234188?from=vacancy_search_list&query=data+scientist,7000,8000,EUR
26,Data Scientist (в медицине),https://kazan.hh.ru/vacancy/75891518?from=vacancy_search_list&query=data+scientist,0,0,
27,Data scientist (Middle),https://kazan.hh.ru/vacancy/77067906?from=vacancy_search_list&query=data+scientist,0,0,
28,Data scientist (Ценообразование),https://kazan.hh.ru/vacancy/76974214?from=vacancy_search_list&query=data+scientist,0,0,
29,"Data scientist в ""Кошелек клиента""",https://kazan.hh.ru/vacancy/77033226?from=vacancy_search_list&query=data+scientist,0,0,
30,Data-Scientist / Дата-сайентист,https://kazan.hh.ru/vacancy/76913797?from=vacancy_search_list&query=data+scientist,0,0,
31,Senior Data Scientist,https://kazan.hh.ru/vacancy/77083465?from=vacancy_search_list&query=data+scientist,0,0,
32,Data Scientist (Computer Vision),https://kazan.hh.ru/vacancy/75656293?from=vacancy_search_list&query=data+scientist,0,0,
33,Senior Data Scientist (RecSys),https://kazan.hh.ru/vacancy/76939162?from=vacancy_search_list&query=data+scientist,0,0,
34,Data Analyst (DA)/Data Engineer (DE),https://kazan.hh.ru/vacancy/77137743?from=vacancy_search_list&query=data+scientist,0,0,
35,Data engineer\analyst (развитие источников данных Big Data),https://kazan.hh.ru/vacancy/68958646?from=vacancy_search_list&query=data+scientist,0,0,
36,Data scientist (NLP),https://kazan.hh.ru/vacancy/76971323?from=vacancy_search_list&query=data+scientist,0,0,
37,Data Scientist (Middle),https://kazan.hh.ru/vacancy/73254242?from=vacancy_search_list&query=data+scientist,0,0,
38,Data Scientist,https://kazan.hh.ru/vacancy/67054541?from=vacancy_search_list&query=data+scientist,0,0,
39,Data инженер,https://kazan.hh.ru/vacancy/77220473?from=vacancy_search_list&query=data+scientist,0,0,
40,Data Scientist / Специалист по работе с искусственным интеллектом,https://kazan.hh.ru/vacancy/69379894?from=vacancy_search_list&query=data+scientist,0,0,
41,Программист C++ (Data scientist),https://kazan.hh.ru/vacancy/76225469?from=vacancy_search_list&query=data+scientist,0,0,
42,Аналитик данных / Data Scientist (Middle),https://kazan.hh.ru/vacancy/73052704?from=vacancy_search_list&query=data+scientist,140000,200000,руб.
43,Data Scientist Lead в команду online-оценка коммерческой недвижимости,https://kazan.hh.ru/vacancy/77151542?from=vacancy_search_list&query=data+scientist,0,0,
44,Аналитик данных / Data Scientist (Middle),https://kazan.hh.ru/vacancy/73052685?from=vacancy_search_list&query=data+scientist,140000,200000,руб.
45,Senior Data Scientist,https://kazan.hh.ru/vacancy/77074394?from=vacancy_search_list&query=data+scientist,0,0,
46,Data Scientist / Machine Learning Engineer,https://kazan.hh.ru/vacancy/75881375?from=vacancy_search_list&query=data+scientist,0,0,
47,"Data scientist, Цены и анализ конкурентов, Матчинг",https://kazan.hh.ru/vacancy/76845266?from=vacancy_search_list&query=data+scientist,0,0,
48,Senior data scientist,https://kazan.hh.ru/vacancy/75619237?from=vacancy_search_list&query=data+scientist,0,0,
49,"Data scientist (junior/middle), команда разработки портфельных моделей",https://kazan.hh.ru/vacancy/73577736?from=vacancy_search_list&query=data+scientist,0,0,
50,Data scientist (аналитик),https://kazan.hh.ru/vacancy/76603183?from=vacancy_search_list&query=data+scientist,0,0,
51,Data Scientist (Computer Vision),https://kazan.hh.ru/vacancy/73401856?from=vacancy_search_list&query=data+scientist,0,0,
52,Senior Data Scientist,https://kazan.hh.ru/vacancy/77091180?from=vacancy_search_list&query=data+scientist,0,0,
53,ML engineer/Data engineer,https://kazan.hh.ru/vacancy/72373055?from=vacancy_search_list&query=data+scientist,0,0,
54,Middle Data Scientist,https://kazan.hh.ru/vacancy/76916740?from=vacancy_search_list&query=data+scientist,0,0,
55,Data Scientist (NLP),https://kazan.hh.ru/vacancy/76867207?from=vacancy_search_list&query=data+scientist,0,0,
56,Senior Data Scientist (Adtech),https://kazan.hh.ru/vacancy/77034579?from=vacancy_search_list&query=data+scientist,0,0,
57,Middle Data scientist / Аналитик (Нижний Новгород),https://kazan.hh.ru/vacancy/75827761?from=vacancy_search_list&query=data+scientist,100000,150000,руб.
58,Data Scientist,https://kazan.hh.ru/vacancy/76446137?from=vacancy_search_list&query=data+scientist,160000,180000,руб.
59,Data Scientist,https://kazan.hh.ru/vacancy/76809540?from=vacancy_search_list&query=data+scientist,0,0,
60,Python Developer,https://kazan.hh.ru/vacancy/75837805?from=vacancy_search_list&query=data+scientist,0,0,
61,Data scientist (Персонализация),https://kazan.hh.ru/vacancy/54829296?from=vacancy_search_list&query=data+scientist,0,0,
62,Data scientist/Analyst (Middle+/Senior) - Руководитель отдела аналитики,https://kazan.hh.ru/vacancy/73139848?from=vacancy_search_list&query=data+scientist,250000,400000,руб.
63,Data Scientist,https://kazan.hh.ru/vacancy/71907512?from=vacancy_search_list&query=data+scientist,0,0,
64,Data Scientist (Почта),https://kazan.hh.ru/vacancy/75546387?from=vacancy_search_list&query=data+scientist,0,0,
65,Data Scientist,https://kazan.hh.ru/vacancy/73377792?from=vacancy_search_list&query=data+scientist,0,0,
66,Data Scientist – Senior/Chief,https://kazan.hh.ru/vacancy/76931699?from=vacancy_search_list&query=data+scientist,0,0,
67,"DSP/ISP Researcher Scientist, Armenia",https://kazan.hh.ru/vacancy/75917593?from=vacancy_search_list&query=data+scientist,0,0,
68,Data Scientist,https://kazan.hh.ru/vacancy/76433045?from=vacancy_search_list&query=data+scientist,0,0,
69,"Data analyst/Data Scientist в ML-команду трайба ""Платежи и переводы""",https://kazan.hh.ru/vacancy/76727275?from=vacancy_search_list&query=data+scientist,0,0,
70,Middle/Senior Data Scientist,https://kazan.hh.ru/vacancy/76863375?from=vacancy_search_list&query=data+scientist,0,0,
71,Data Scientist (Predict),https://kazan.hh.ru/vacancy/73254140?from=vacancy_search_list&query=data+scientist,0,0,
72,Senior Data scientist,https://kazan.hh.ru/vacancy/71958940?from=vacancy_search_list&query=data+scientist,0,0,
73,Data Scientist,https://kazan.hh.ru/vacancy/69631571?from=vacancy_search_list&query=data+scientist,0,0,
74,Data Scientist,https://kazan.hh.ru/vacancy/76461371?from=vacancy_search_list&query=data+scientist,0,0,
75,Middle Data Scientist,https://kazan.hh.ru/vacancy/76672110?from=vacancy_search_list&query=data+scientist,0,0,
76,Главный эксперт по анализу данных (data analyst/data scientist/аналитик данных),https://kazan.hh.ru/vacancy/75530182?from=vacancy_search_list&query=data+scientist,0,0,
77,Аналитик данных / Data Scientist (Middle),https://kazan.hh.ru/vacancy/69947221?from=vacancy_search_list&query=data+scientist,140000,200000,руб.
78,Data Scientist (Рекомендательные системы),https://kazan.hh.ru/vacancy/68115103?from=vacancy_search_list&query=data+scientist,0,0,
79,Data Scientist,https://kazan.hh.ru/vacancy/76399915?from=vacancy_search_list&query=data+scientist,0,0,
80,Data Scientist ( Аналитик данных ),https://kazan.hh.ru/vacancy/76537732?from=vacancy_search_list&query=data+scientist,0,0,
